project,sample,site,revisit,revisitid,g_hair,u_hair,type,barb,hair_colour,site_id,site_number,site_type,season,revisit_date,revisit_crew,site_name.x,utme,utmn,utm_zone,individual,sex,species,year,Treatment
nt,41473,at25,8,2019at2508,10-Apr,10-Apr,both,b38,br,2019at25,at25,passive,fall,09/27/2019,"as, kf, km",little tweedsmuir,699677,5805811,9,41473,female,grizzly,2019,Platform_Drift
nt,41474,at25,8,2019at2508,>10,>10,both,b10,bl,2019at25,at25,passive,fall,09/27/2019,"as, kf, km",little tweedsmuir,699677,5805811,9,22477,male,black,2019,Platform_Drift
nt,41477,at25,8,2019at2508,10-Apr,10-Apr,both,b13,bl,2019at25,at25,passive,fall,09/27/2019,"as, kf, km",little tweedsmuir,699677,5805811,9,22477,male,black,2019,Platform_Drift
nt,41478,at25,8,2019at2508,,>10,u,b14,br,2019at25,at25,passive,fall,09/27/2019,"as, kf, km",little tweedsmuir,699677,5805811,9,41478,male,grizzly,2019,Platform_Drift
nt,41481,at09,7,2019at0907,lots,lots,both,a6,br,2019at09,at09,passive,summer,09/16/2019,"as, qh",blair's hole,307603,5808688,10,50364,female,grizzly,2019,Reference
nt,41482,at11,7,2019at1107,>10,,g,a3,br,2019at11,at11,passive,summer,09/16/2019,"as, qh",frog water,305595,5809726,10,40024,female,grizzly,2019,Landbased
nt,41483,at09,7,2019at0907,>10,>10,both,b24,bl,2019at09,at09,passive,summer,09/16/2019,"as, qh",blair's hole,307603,5808688,10,50364,female,grizzly,2019,Reference
nt,41485,at10,7,2019at1007,10-Apr,10-Apr,both,a34,br,2019at10,at10,passive,summer,09/16/2019,"as, qh",billy's cabin,306611,5809269,10,41396,female,grizzly,2019,Landbased
nt,41498,at26,9,2019at2609,>10,>10,both,a39,bl,2019at26,at26,passive,fall,10/08/2019,"kf, as, km",big tweedsmuir,699240,5806240,9,36133,male,black,2019,Platform_Drift
nt,41501,at29,7,2019at2907,>10,>10,both,b12,mixed,2019at29,at29,passive,summer,09/17/2019,"kf, km, as",fisheries pool 2,698609,5806891,9,41505,female,grizzly,2019,Platform_Drift
nt,41505,at25,7,2019at2507,10-Apr,10-Apr,both,a11,bl,2019at25,at25,passive,summer,09/17/2019,"kf, km, as",little tweedsmuir,699677,5805811,9,41505,female,grizzly,2019,Platform_Drift
nt,41508,at30,7,2019at3007,10-Apr,10-Apr,both,a5,bl,2019at30,at30,passive,summer,09/17/2019,"kf, km, as",holly's side channel,700379,5805728,9,41473,female,grizzly,2019,Platform_Drift
nt,43001,at18,5,2021at1805,10-Apr,n/a,g,b25,mixed,2021at18,at18,passive,summer,09/14/2021,"ns, rs, ei",mosher,298837,5809638,10,36879,female,grizzly,2021,Landbased
nt,43002,at06,4,2021at0604,>10,>10,both,a5,br,2021at06,at06,passive,summer,08/30/2021,"kf, sm, nc",sheep creek,309224,5807406,10,50364,female,grizzly,2021,Reference
