"","X","year","date","yearweek_ID","site_num","site_name","session_start_time","session_end_time","timestamp_focal.bhv.change","start_time_of_focal","length","file_id","focalbear_event","bear_name","sex","age","agesex","family","yrl_num","coy_num","num_offspring","coarse_code","fine_code","snorkel","carry_to_cover","video_time_behave_change","duration_of_behave","duration_in_seconds","start_time_within_the_minute","total_length_within_focalevent","sexing_comments"
"17",17,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:37:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,0,0,"","","0:00:54","0:00:02",2,NA,1150,NA
"18",18,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:37:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,10,11,"","","0:00:56","0:00:02",2,NA,1150,NA
"19",19,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:37:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,30,31,"","","0:01:07","0:00:11",11,NA,1150,NA
"20",20,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,10,11,"","","0:01:12","0:00:05",5,NA,1150,NA
"21",21,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,30,31,"","","0:01:16","0:00:04",4,NA,1150,NA
"22",22,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,100,100,"","","0:01:18","0:00:02",2,NA,1150,NA
"23",23,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,10,13,"","","0:01:21","0:00:03",3,NA,1150,NA
"24",24,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,10,11,"","","0:01:25","0:00:04",4,NA,1150,NA
"25",25,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,100,100,"","","0:01:27","0:00:02",2,NA,1150,NA
"26",26,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,10,11,"","","0:01:55","0:00:28",28,NA,1150,NA
